ay,total_ug_students,total_pg_students,ug_overseas,pg_overseas,ug_europe,pg_europe,ug_asia,pg_asia,ug_africa,pg_africa,ug_namerica,pg_namerica,ug_samerica,pg_samerica,ug_australasia,pg_australasia
2023,6081,6974,2994,5357,605,1499,1976,2792,50,152,319,954,18,272,26,74
2022,6195,6993,3083,5489,685,1528,2056,2916,55,165,255,923,14,294,18,93
2021,5808,6807,3027,5279,734,1666,1945,2577,61,194,245,1017,22,259,20,70
2020,5693,6900,3083,5303,878,1908,1962,2480,61,191,135,941,17,251,30,70
2019,5454,6267,2992,4959,740,1663,1805,2236,72,197,310,1005,25,284,39,96
2018,5348,5983,2920,4711,696,1792,1779,1992,74,163,300,945,27,350,34,96
2017,5090,6032,2698,4885,642,1843,1646,2121,77,148,278,899,27,275,27,86
2016,5082,5990,2730,4885,627,1860,1688,2118,92,136,271,868,28,258,24,98
